node,degree
A001,15
A002,12
N011,12
A003,9
N003,6
N005,5
N007,4
N012,4
N016,4
N017,4
N022,4
N050,4
N006,3
N009,3
N010,3
N018,3
N019,3
N020,3
N070,3
N000,2
N001,2
N008,2
N014,2
N021,2
N027,2
N028,2
N035,2
N041,2
N042,2
N046,2
N047,2
N076,2
N078,2
N081,2
A004,1
A005,1
N002,1
N004,1
N013,1
N015,1
N023,1
N024,1
N025,1
N026,1
N029,1
N030,1
N031,1
N032,1
N033,1
N034,1
N036,1
N037,1
N038,1
N039,1
N040,1
N043,1
N044,1
N045,1
N048,1
N049,1
N051,1
N052,1
N053,1
N054,1
N055,1
N056,1
N057,1
N058,1
N059,1
N060,1
N061,1
N062,1
N063,1
N064,1
N065,1
N066,1
N067,1
N068,1
N069,1
N071,1
N072,1
N073,1
N074,1
N075,1
N077,1
N079,1
N080,1
N082,1
N083,1
N084,1
N085,1
N086,1
N087,1
N088,1
N089,1
N090,1
N091,1
N092,1
N093,1
N094,1
N095,1
N096,1
N097,1
N098,1
N099,1
