year,scenario,policy_active,travel_demand,vehicle_demand,road_capacity,transit_capacity,transit_mode_share,congestion_index,housing_supply_index,housing_cost_index,transport_cost_index,utility_cost_index,affordability_index,infrastructure_condition,displacement_pressure,climate_risk_index,access_index,urban_resilience_index
0,Road expansion baseline,False,84.1,65.527,71.2,36.012,22.084,50.618,44.08,70.754,33.741,19.7,20.411,59.684,44.067,34.03,97.43,48.058
1,Road expansion baseline,False,86.2,67.393,72.4,36.024,21.818,51.196,44.16,77.891,33.991,19.816,17.089,57.36,46.347,35.009,96.021,46.099
2,Road expansion baseline,False,88.3,69.283,73.6,36.036,21.537,51.774,44.24,85.449,34.244,19.932,13.576,55.03,48.855,36.013,94.544,44.067
3,Road expansion baseline,False,90.4,71.2,74.8,36.048,21.239,52.353,44.32,93.469,34.501,20.049,9.854,52.693,51.603,37.044,92.995,41.955
4,Road expansion baseline,True,92.5,72.906,76.0,36.348,21.183,52.761,44.72,100.0,34.653,20.165,6.838,50.846,54.323,37.868,91.764,40.282
5,Road expansion baseline,True,94.6,74.709,77.2,36.648,21.027,53.225,45.12,100.0,34.844,20.258,6.753,48.993,57.043,38.341,91.011,39.508
6,Road expansion baseline,True,96.7,76.266,78.4,36.948,21.132,53.503,45.52,100.0,34.922,20.35,6.707,47.137,59.763,38.811,90.404,38.814
7,Road expansion baseline,True,98.8,77.818,79.6,37.248,21.237,53.769,45.92,100.0,34.996,20.443,6.663,45.278,62.483,39.281,89.8,38.121
8,Road expansion baseline,True,100.9,79.366,80.8,37.548,21.342,54.024,46.32,100.0,35.067,20.536,6.619,43.415,65.203,39.752,89.199,37.427
9,Road expansion baseline,True,103.0,80.91,82.0,37.848,21.447,54.269,46.72,100.0,35.134,20.629,6.577,41.55,67.923,40.223,88.602,36.735
10,Road expansion baseline,True,105.1,82.449,83.2,38.148,21.552,54.504,47.12,100.0,35.197,20.722,6.537,39.682,70.643,40.695,88.007,36.042
11,Road expansion baseline,True,107.2,83.984,84.4,38.448,21.657,54.729,47.52,100.0,35.257,20.816,6.497,37.811,73.363,41.168,87.415,35.35
12,Road expansion baseline,True,109.3,85.514,85.6,38.748,21.762,54.945,47.92,100.0,35.314,20.909,6.458,35.938,76.083,41.641,86.825,34.659
13,Road expansion baseline,True,111.4,87.04,86.8,39.048,21.867,55.152,48.32,100.0,35.367,21.003,6.421,34.062,78.803,42.114,86.239,33.968
14,Road expansion baseline,True,113.5,88.562,88.0,39.348,21.972,55.351,48.72,100.0,35.418,21.097,6.384,32.184,81.523,42.588,85.654,33.277
15,Road expansion baseline,True,115.6,90.079,89.2,39.648,22.077,55.542,49.12,100.0,35.466,21.191,6.349,30.303,84.243,43.062,85.072,32.586
16,Road expansion baseline,True,117.7,91.592,90.4,39.948,22.182,55.725,49.52,100.0,35.511,21.285,6.314,28.421,86.963,43.537,84.492,31.896
17,Road expansion baseline,True,119.8,93.1,91.6,40.248,22.287,55.901,49.92,100.0,35.554,21.379,6.28,26.536,89.683,44.012,83.914,31.206
18,Road expansion baseline,True,121.9,94.604,92.8,40.548,22.392,56.069,50.32,100.0,35.594,21.473,6.248,24.649,92.403,44.488,83.339,30.516
19,Road expansion baseline,True,124.0,96.104,94.0,40.848,22.497,56.231,50.72,100.0,35.631,21.568,6.215,22.76,95.123,44.964,82.765,29.827
20,Road expansion baseline,True,126.1,97.599,95.2,41.148,22.602,56.386,51.12,100.0,35.667,21.662,6.184,20.87,97.843,45.44,82.193,29.138
21,Road expansion baseline,True,128.2,99.09,96.4,41.448,22.707,56.535,51.52,100.0,35.7,21.757,6.154,18.977,100.0,45.917,81.691,28.469
22,Road expansion baseline,True,130.3,100.576,97.6,41.748,22.812,56.677,51.92,100.0,35.731,21.851,6.124,17.083,100.0,46.394,81.449,27.878
23,Road expansion baseline,True,132.4,102.058,98.8,42.048,22.917,56.814,52.32,100.0,35.76,21.946,6.095,15.187,100.0,46.872,81.209,27.288
24,Road expansion baseline,True,134.5,103.536,100.0,42.348,23.022,56.945,52.72,100.0,35.787,22.041,6.067,13.29,100.0,47.35,80.97,26.697
25,Road expansion baseline,True,136.6,105.009,101.2,42.648,23.127,57.07,53.12,100.0,35.812,22.135,6.039,11.391,100.0,47.828,80.734,26.107
26,Road expansion baseline,True,138.7,106.477,102.4,42.948,23.232,57.19,53.52,100.0,35.835,22.23,6.012,9.491,100.0,48.306,80.498,25.518
27,Road expansion baseline,True,140.8,107.942,103.6,43.248,23.337,57.305,53.92,100.0,35.856,22.325,5.985,7.589,100.0,48.784,80.264,24.928
28,Road expansion baseline,True,142.9,109.402,104.8,43.548,23.442,57.415,54.32,100.0,35.876,22.421,5.959,5.686,100.0,49.263,80.032,24.339
29,Road expansion baseline,True,145.0,110.857,106.0,43.848,23.547,57.52,54.72,100.0,35.894,22.516,5.934,3.782,100.0,49.742,79.801,23.75
30,Road expansion baseline,True,147.1,112.308,107.2,44.148,23.652,57.621,55.12,100.0,35.91,22.611,5.909,1.877,100.0,50.222,79.571,23.161
0,Deferred maintenance,False,80.65,63.348,68.15,33.979,21.453,51.125,43.076,69.172,34.032,21.1,18.741,55.487,46.015,38.879,96.037,45.626
1,Deferred maintenance,False,81.3,64.098,68.3,33.958,21.158,51.616,43.152,76.715,34.257,21.226,15.243,52.967,48.257,39.929,94.595,43.554
2,Deferred maintenance,False,81.95,64.864,68.45,33.937,20.849,52.119,43.228,84.671,34.489,21.352,11.557,50.442,50.737,41.003,93.081,41.409
3,Deferred maintenance,False,82.6,65.647,68.6,33.916,20.524,52.633,43.304,93.083,34.727,21.478,7.663,47.91,53.469,42.103,91.49,39.182
4,Deferred maintenance,False,83.25,66.45,68.75,33.895,20.18,53.16,43.38,100.0,34.974,21.604,4.438,45.372,56.409,43.124,89.984,37.153
5,Deferred maintenance,False,83.9,67.207,68.9,33.874,19.896,53.649,43.456,100.0,35.196,21.731,4.335,42.828,59.349,43.773,89.07,36.124
6,Deferred maintenance,False,84.55,67.734,69.05,33.853,19.889,53.952,43.532,100.0,35.303,21.859,4.272,40.281,62.289,44.417,88.307,35.177
7,Deferred maintenance,False,85.2,68.261,69.2,33.832,19.881,54.254,43.608,100.0,35.41,21.986,4.209,37.73,65.229,45.062,87.544,34.23
8,Deferred maintenance,False,85.85,68.788,69.35,33.811,19.874,54.555,43.684,100.0,35.517,22.114,4.146,35.175,68.169,45.709,86.78,33.281
9,Deferred maintenance,False,86.5,69.315,69.5,33.79,19.866,54.854,43.76,100.0,35.623,22.241,4.084,32.617,71.109,46.356,86.017,32.331
10,Deferred maintenance,False,87.15,69.843,69.65,33.769,19.859,55.152,43.836,100.0,35.729,22.369,4.021,30.055,74.049,47.004,85.254,31.381
11,Deferred maintenance,False,87.8,70.37,69.8,33.748,19.852,55.449,43.912,100.0,35.834,22.497,3.959,27.49,76.989,47.653,84.49,30.429
12,Deferred maintenance,True,88.45,70.689,69.95,33.943,20.08,55.581,44.292,100.0,35.839,22.626,3.931,25.088,79.689,48.256,83.907,29.609
13,Deferred maintenance,True,89.1,71.148,70.1,34.138,20.148,55.822,44.672,100.0,35.911,22.746,3.882,22.683,82.389,48.863,83.235,28.74
14,Deferred maintenance,True,89.75,71.606,70.25,34.333,20.217,56.061,45.052,100.0,35.982,22.866,3.833,20.275,85.089,49.471,82.563,27.871
15,Deferred maintenance,True,90.4,72.063,70.4,34.528,20.285,56.299,45.432,100.0,36.053,22.986,3.784,17.865,87.789,50.08,81.892,27.0
16,Deferred maintenance,True,91.05,72.519,70.55,34.723,20.353,56.535,45.812,100.0,36.124,23.107,3.735,15.451,90.489,50.689,81.22,26.129
17,Deferred maintenance,True,91.7,72.974,70.7,34.918,20.421,56.769,46.192,100.0,36.193,23.227,3.687,13.035,93.189,51.299,80.549,25.258
18,Deferred maintenance,True,92.35,73.428,70.85,35.113,20.49,57.001,46.572,100.0,36.262,23.348,3.639,10.616,95.889,51.909,79.878,24.385
19,Deferred maintenance,True,93.0,73.881,71.0,35.308,20.558,57.232,46.952,100.0,36.331,23.469,3.59,8.194,98.589,52.521,79.208,23.512
20,Deferred maintenance,True,93.65,74.334,71.15,35.503,20.626,57.461,47.332,100.0,36.399,23.59,3.542,5.77,100.0,53.132,78.692,22.685
21,Deferred maintenance,True,94.3,74.785,71.3,35.698,20.694,57.689,47.712,100.0,36.466,23.712,3.495,3.342,100.0,53.745,78.346,21.908
22,Deferred maintenance,True,94.95,75.236,71.45,35.893,20.763,57.914,48.092,100.0,36.533,23.833,3.447,0.912,100.0,54.358,78.0,21.13
23,Deferred maintenance,True,95.6,75.686,71.6,36.088,20.831,58.138,48.472,100.0,36.599,23.954,3.399,0.0,100.0,54.592,77.836,20.825
