period,scenario,drift_index,feedback_bias_index,group_a_error,group_b_error,false_positive_gap,false_negative_gap,automation_burden,human_review_backlog,contestability_index,governance_readiness,ai_system_risk,public_trust
0,Unmanaged automation,2.123,18.952,18.382,30.515,12.133,4.908,41.512,38.729,6.448,20.27,16.506,65.03
1,Unmanaged automation,4.246,19.905,18.764,31.231,12.467,5.316,41.725,38.908,6.405,20.27,17.197,64.672
2,Unmanaged automation,6.369,20.857,19.146,31.946,12.8,5.724,41.937,39.087,6.363,20.27,17.888,64.314
3,Unmanaged automation,8.492,21.81,19.529,32.662,13.133,6.132,42.149,39.265,6.32,20.27,18.579,63.957
4,Unmanaged automation,10.615,22.762,19.911,33.377,13.467,6.54,42.361,39.444,6.278,20.27,19.27,63.599
5,Unmanaged automation,12.738,23.714,20.293,34.093,13.8,6.948,42.574,39.623,6.235,20.27,19.961,63.241
6,Unmanaged automation,14.861,24.667,20.675,34.808,14.133,7.356,42.786,39.802,6.193,20.27,20.652,62.884
7,Unmanaged automation,16.984,25.619,21.057,35.524,14.467,7.764,42.998,39.981,6.15,20.27,21.343,62.526
8,Unmanaged automation,19.107,26.572,21.439,36.239,14.8,8.171,43.211,40.16,6.108,20.27,22.033,62.169
9,Unmanaged automation,21.23,27.524,21.821,36.955,15.133,8.579,43.423,40.339,6.065,20.27,22.724,61.811
10,Unmanaged automation,23.353,28.476,22.204,37.67,15.467,8.987,43.635,40.518,6.023,20.27,23.415,61.453
11,Unmanaged automation,25.476,29.429,22.586,38.386,15.8,9.395,43.848,40.696,5.98,20.27,24.106,61.096
12,Unmanaged automation,27.599,30.381,22.968,39.101,16.133,9.803,44.06,40.875,5.938,20.27,24.797,60.738
13,Unmanaged automation,29.722,31.334,23.35,39.817,16.467,10.211,44.272,41.054,5.896,20.27,25.488,60.38
14,Unmanaged automation,31.845,32.286,23.732,40.532,16.8,10.619,44.484,41.233,5.853,20.27,26.179,60.023
15,Unmanaged automation,33.968,33.238,24.114,41.248,17.133,11.027,44.697,41.412,5.811,20.27,26.87,59.665
16,Unmanaged automation,36.091,34.191,24.496,41.963,17.467,11.435,44.909,41.591,5.768,20.27,27.561,59.308
17,Unmanaged automation,38.214,35.143,24.879,42.679,17.8,11.843,45.121,41.77,5.726,20.27,28.252,58.95
18,Unmanaged automation,40.337,36.096,25.261,43.394,18.133,12.251,45.334,41.949,5.683,20.27,28.943,58.592
19,Unmanaged automation,42.46,37.048,25.643,44.11,18.467,12.659,45.546,42.127,5.641,20.27,29.634,58.235
20,Unmanaged automation,44.583,38.0,26.025,44.825,18.8,13.067,45.758,42.306,5.598,20.27,30.325,57.877
21,Unmanaged automation,46.706,38.953,26.407,45.541,19.133,13.475,45.971,42.485,5.556,20.27,31.016,57.519
22,Unmanaged automation,48.829,39.905,26.789,46.256,19.467,13.883,46.183,42.664,5.513,20.27,31.707,57.162
23,Unmanaged automation,50.952,40.858,27.171,46.972,19.8,14.291,46.395,42.843,5.471,20.27,32.398,56.804
24,Unmanaged automation,53.075,41.81,27.553,47.687,20.134,14.699,46.607,43.022,5.429,20.27,33.089,56.446
25,Unmanaged automation,55.198,42.762,27.936,48.402,20.467,15.106,46.82,43.201,5.386,20.27,33.78,56.089
26,Unmanaged automation,57.321,43.715,28.318,49.118,20.8,15.514,47.032,43.379,5.344,20.27,34.47,55.731
27,Unmanaged automation,59.444,44.667,28.7,49.833,21.134,15.922,47.244,43.558,5.301,20.27,35.161,55.374
28,Unmanaged automation,61.567,45.62,29.082,50.549,21.467,16.33,47.457,43.737,5.259,20.27,35.852,55.016
29,Unmanaged automation,63.69,46.572,29.464,51.264,21.8,16.738,47.669,43.916,5.216,20.27,36.543,54.658
30,Unmanaged automation,65.813,47.524,29.846,51.98,22.134,17.146,47.881,44.095,5.174,20.27,37.234,54.301
31,Unmanaged automation,67.936,48.477,30.228,52.695,22.467,17.554,48.094,44.274,5.131,20.27,37.925,53.943
32,Unmanaged automation,70.059,49.429,30.611,53.411,22.8,17.962,48.306,44.453,5.089,20.27,38.616,53.585
33,Unmanaged automation,72.182,50.382,30.993,54.126,23.134,18.37,48.518,44.632,5.046,20.27,39.307,53.228
34,Unmanaged automation,74.305,51.334,31.375,54.842,23.467,18.778,48.73,44.81,5.004,20.27,39.998,52.87
35,Unmanaged automation,76.428,52.286,31.757,55.557,23.8,19.186,48.943,44.989,4.961,20.27,40.689,52.513
36,Unmanaged automation,78.551,53.239,32.139,56.273,24.134,19.594,49.155,45.168,4.919,20.27,41.38,52.155
0,Biased feedback loop,1.687,25.025,16.304,31.262,14.959,6.391,35.149,32.276,12.47,25.41,14.853,68.443
1,Biased feedback loop,3.373,26.05,16.607,31.925,15.317,6.782,35.317,32.441,12.437,25.41,15.457,68.135
2,Biased feedback loop,5.06,27.074,16.911,32.587,15.676,7.173,35.486,32.607,12.403,25.41,16.06,67.826
3,Biased feedback loop,6.746,28.099,17.214,33.249,16.035,7.565,35.655,32.772,12.369,25.41,16.663,67.517
4,Biased feedback loop,8.433,29.124,17.518,33.911,16.393,7.956,35.823,32.938,12.335,25.41,17.267,67.209
5,Biased feedback loop,10.12,30.149,17.822,34.574,16.752,8.347,35.992,33.103,12.302,25.41,17.87,66.9
6,Biased feedback loop,11.806,31.174,18.125,35.236,17.111,8.738,36.161,33.269,12.268,25.41,18.473,66.592
