period,solution_name,investment,repair_effect,implementation_delay
0,rule_simplification_and_capacity_building,5,1,3
1,rule_simplification_and_capacity_building,6,1,3
2,rule_simplification_and_capacity_building,7,2,3
3,rule_simplification_and_capacity_building,9,3,3
4,rule_simplification_and_capacity_building,13,4,3
5,rule_simplification_and_capacity_building,18,6,3
6,rule_simplification_and_capacity_building,24,8,3
7,rule_simplification_and_capacity_building,30,11,3
8,rule_simplification_and_capacity_building,37,14,3
9,rule_simplification_and_capacity_building,45,18,3
