year,scenario,resilience,pressure,threshold_margin,recovery_time_index,vulnerability_index,intervention_active,regime
0,Baseline pressure,74.68,37.4,37.28,0.501,48.35,false,resilient regime
1,Baseline pressure,71.28,39.8,31.48,0.558,48.7,false,resilient regime
2,Baseline pressure,67.8,42.2,25.6,0.622,49.05,false,stressed but recoverable
3,Baseline pressure,64.25,44.6,19.65,0.694,49.4,false,stressed but recoverable
4,Baseline pressure,60.62,47.0,13.62,0.775,49.75,false,stressed but recoverable
5,Baseline pressure,56.91,49.4,7.51,0.868,50.1,false,near threshold
6,Baseline pressure,53.12,51.8,1.32,0.975,50.45,false,near threshold
7,Baseline pressure,49.26,54.2,-4.94,1.1,50.8,false,shifted regime
8,Baseline pressure,45.32,56.6,-11.28,1.249,51.15,false,shifted regime
9,Baseline pressure,41.3,59.0,-17.7,1.428,51.5,false,shifted regime
10,Baseline pressure,37.21,61.4,-24.19,1.65,51.85,false,shifted regime
11,Baseline pressure,33.04,63.8,-30.76,1.931,52.2,false,shifted regime
12,Baseline pressure,28.79,66.2,-37.41,2.3,52.55,false,shifted regime
13,Baseline pressure,24.46,68.6,-44.14,2.804,52.9,false,shifted regime
14,Baseline pressure,20.06,71.0,-50.94,3.54,53.25,false,shifted regime
15,Baseline pressure,15.58,73.4,-57.82,4.712,53.6,false,shifted regime
16,Baseline pressure,11.02,75.8,-64.78,6.878,53.95,false,shifted regime
17,Baseline pressure,6.38,78.2,-71.82,12.248,54.3,false,shifted regime
18,Baseline pressure,1.67,80.6,-78.93,48.199,54.65,false,shifted regime
19,Baseline pressure,0.0,83.0,-83.0,83.0,55.0,false,shifted regime
20,Baseline pressure,0.0,85.4,-85.4,85.4,55.35,false,shifted regime
21,Baseline pressure,0.0,87.8,-87.8,87.8,55.7,false,shifted regime
22,Baseline pressure,0.0,90.2,-90.2,90.2,56.05,false,shifted regime
23,Baseline pressure,0.0,92.6,-92.6,92.6,56.4,false,shifted regime
24,Baseline pressure,0.0,95.0,-95.0,95.0,56.75,false,shifted regime
25,Baseline pressure,0.0,97.4,-97.4,97.4,57.1,false,shifted regime
26,Baseline pressure,0.0,99.8,-99.8,99.8,57.45,false,shifted regime
27,Baseline pressure,0.0,102.2,-102.2,102.2,57.8,false,shifted regime
28,Baseline pressure,0.0,104.6,-104.6,104.6,58.15,false,shifted regime
29,Baseline pressure,0.0,107.0,-107.0,107.0,58.5,false,shifted regime
30,Baseline pressure,0.0,109.4,-109.4,109.4,58.85,false,shifted regime
31,Baseline pressure,0.0,111.8,-111.8,111.8,59.2,false,shifted regime
32,Baseline pressure,0.0,114.2,-114.2,114.2,59.55,false,shifted regime
33,Baseline pressure,0.0,116.6,-116.6,116.6,59.9,false,shifted regime
34,Baseline pressure,0.0,119.0,-119.0,119.0,60.25,false,shifted regime
35,Baseline pressure,0.0,121.4,-121.4,121.4,60.6,false,shifted regime
0,Delayed response,74.27,37.8,36.47,0.509,48.35,false,resilient regime
1,Delayed response,70.44,40.6,29.84,0.576,48.7,false,resilient regime
2,Delayed response,66.53,43.4,23.13,0.652,49.05,false,stressed but recoverable
3,Delayed response,62.53,46.2,16.33,0.739,49.4,false,stressed but recoverable
4,Delayed response,58.44,49.0,9.44,0.839,49.75,false,near threshold
5,Delayed response,54.26,51.8,2.46,0.955,50.1,false,near threshold
6,Delayed response,49.99,54.6,-4.61,1.092,50.45,false,shifted regime
7,Delayed response,45.63,57.4,-11.77,1.258,50.8,false,shifted regime
8,Delayed response,41.18,60.2,-19.02,1.462,51.15,false,shifted regime
9,Delayed response,36.64,63.0,-26.36,1.719,51.5,false,shifted regime
10,Delayed response,32.02,65.8,-33.78,2.055,51.85,false,shifted regime
11,Delayed response,27.3,68.6,-41.3,2.513,52.2,false,shifted regime
12,Delayed response,22.5,71.4,-48.9,3.174,52.55,false,shifted regime
13,Delayed response,17.6,74.2,-56.6,4.215,52.9,false,shifted regime
14,Delayed response,12.62,77.0,-64.38,6.102,53.25,false,shifted regime
15,Delayed response,7.55,79.8,-72.25,10.575,53.6,false,shifted regime
16,Delayed response,2.38,82.6,-80.22,34.648,53.95,false,shifted regime
17,Delayed response,0.0,85.4,-85.4,85.4,54.3,false,shifted regime
18,Delayed response,0.0,88.2,-88.2,88.2,54.65,false,shifted regime
19,Delayed response,0.0,91.0,-91.0,91.0,55.0,false,shifted regime
20,Delayed response,0.0,86.3,-86.3,86.296,54.95,true,shifted regime
21,Delayed response,0.0,81.97,-81.97,81.968,54.9,true,shifted regime
22,Delayed response,0.0,77.99,-77.99,77.987,54.85,true,shifted regime
23,Delayed response,0.0,74.32,-74.32,74.324,54.8,true,shifted regime
24,Delayed response,0.0,70.95,-70.95,70.954,54.75,true,shifted regime
25,Delayed response,0.0,67.85,-67.85,67.854,54.7,true,shifted regime
26,Delayed response,0.0,65.0,-65.0,65.001,54.65,true,shifted regime
27,Delayed response,0.0,62.38,-62.38,62.377,54.6,true,shifted regime
28,Delayed response,0.0,59.96,-59.96,59.963,54.55,true,shifted regime
29,Delayed response,0.0,57.74,-57.74,57.742,54.5,true,shifted regime
30,Delayed response,0.0,55.7,-55.7,55.699,54.45,true,shifted regime
31,Delayed response,0.0,53.82,-53.82,53.819,54.4,true,shifted regime
32,Delayed response,0.0,52.09,-52.09,52.089,54.35,true,shifted regime
33,Delayed response,0.0,50.5,-50.5,50.498,54.3,true,shifted regime
34,Delayed response,0.0,49.03,-49.03,49.034,54.25,true,shifted regime
35,Delayed response,0.0,47.69,-47.69,47.688,54.2,true,shifted regime
0,Buffer-building adaptation,75.68,37.2,38.48,0.492,48.35,false,resilient regime
1,Buffer-building adaptation,73.3,39.4,33.9,0.538,48.7,false,resilient regime
2,Buffer-building adaptation,70.84,41.6,29.24,0.587,49.05,false,resilient regime
3,Buffer-building adaptation,68.31,43.8,24.51,0.641,49.4,false,stressed but recoverable
4,Buffer-building adaptation,65.71,46.0,19.71,0.7,49.75,false,stressed but recoverable
5,Buffer-building adaptation,63.04,48.2,14.84,0.765,50.1,false,stressed but recoverable
6,Buffer-building adaptation,60.29,50.4,9.89,0.836,50.45,false,near threshold
7,Buffer-building adaptation,57.48,52.6,4.88,0.915,50.8,false,near threshold
8,Buffer-building adaptation,56.78,49.32,7.46,0.869,49.95,true,near threshold
9,Buffer-building adaptation,56.18,46.37,9.81,0.825,49.1,true,near threshold
10,Buffer-building adaptation,55.67,43.71,11.96,0.785,48.25,true,stressed but recoverable
11,Buffer-building adaptation,55.24,41.32,13.92,0.748,47.4,true,stressed but recoverable
12,Buffer-building adaptation,54.9,39.17,15.73,0.713,46.55,true,stressed but recoverable
13,Buffer-building adaptation,54.62,37.23,17.39,0.682,45.7,true,stressed but recoverable
14,Buffer-building adaptation,54.41,35.49,18.92,0.652,44.85,true,stressed but recoverable
15,Buffer-building adaptation,54.26,33.92,20.34,0.625,44.0,true,stressed but recoverable
16,Buffer-building adaptation,54.17,32.51,21.66,0.6,43.15,true,stressed but recoverable
17,Buffer-building adaptation,54.12,31.24,22.89,0.577,42.3,true,stressed but recoverable
18,Buffer-building adaptation,54.13,30.09,24.03,0.556,41.45,true,stressed but recoverable
19,Buffer-building adaptation,54.17,29.06,25.11,0.537,40.6,true,stressed but recoverable
20,Buffer-building adaptation,54.26,28.14,26.12,0.519,39.75,true,stressed but recoverable
21,Buffer-building adaptation,54.38,27.3,27.08,0.502,38.9,true,stressed but recoverable
22,Buffer-building adaptation,54.54,26.55,27.99,0.487,38.05,true,stressed but recoverable
23,Buffer-building adaptation,54.74,25.88,28.86,0.473,37.2,true,stressed but recoverable
24,Buffer-building adaptation,54.96,25.27,29.69,0.46,36.35,true,stressed but recoverable
25,Buffer-building adaptation,55.21,24.72,30.49,0.448,35.5,true,stressed but recoverable
26,Buffer-building adaptation,55.49,24.23,31.26,0.437,34.65,true,stressed but recoverable
27,Buffer-building adaptation,55.8,23.79,32.01,0.426,33.8,true,stressed but recoverable
28,Buffer-building adaptation,56.13,23.39,32.74,0.417,32.95,true,stressed but recoverable
29,Buffer-building adaptation,56.49,23.03,33.46,0.408,32.1,true,stressed but recoverable
30,Buffer-building adaptation,56.86,22.71,34.16,0.399,31.25,true,stressed but recoverable
31,Buffer-building adaptation,57.26,22.42,34.85,0.391,30.4,true,stressed but recoverable
32,Buffer-building adaptation,57.68,22.15,35.53,0.384,29.55,true,stressed but recoverable
33,Buffer-building adaptation,58.12,21.92,36.2,0.377,28.7,true,stressed but recoverable
34,Buffer-building adaptation,58.58,21.71,36.87,0.371,27.85,true,stressed but recoverable
35,Buffer-building adaptation,59.06,21.52,37.54,0.364,27.0,true,stressed but recoverable
0,Transformative adaptation,76.33,37.0,39.33,0.485,48.35,false,resilient regime
1,Transformative adaptation,74.59,39.0,35.59,0.523,48.7,false,resilient regime
2,Transformative adaptation,72.79,41.0,31.79,0.563,49.05,false,resilient regime
